name,position,event_attendance,meeting_attendance,duty_participation,submitted_works,competition_participation,chat_activity,activity_status
Member_1,Staff,0/10,0/10,0/10,0,0,Inactive,Inactive
Member_2,Staff,10/10,10/10,10/10,35,17,Very Active,Very Active
Member_3,Staff,0/10,0/10,0/10,0,0,Inactive,Inactive
Member_4,Chair,8/10,8/10,8/10,18,6,Active,Active
Member_5,Staff,10/10,10/10,10/10,45,13,Very Active,Very Active
Member_6,Department Head,8/10,8/10,8/10,29,5,Active,Active
Member_7,Division Head,10/10,10/10,10/10,60,14,Very Active,Very Active
Member_8,Department Head,0/10,0/10,0/10,0,0,Inactive,Inactive
Member_9,Staff,0/10,0/10,0/10,0,0,Inactive,Inactive
Member_10,Staff,6/10,5/10,4/10,13,1,Rarely Active,Moderate
Member_11,Staff,6/10,6/10,6/10,6,3,Rarely Active,Moderate
Member_12,Staff,10/10,10/10,10/10,33,20,Very Active,Very Active
Member_13,Staff,8/10,8/10,9/10,16,3,Active,Active
Member_14,Staff,0/10,0/10,0/10,0,0,Inactive,Inactive
Member_15,Vice Division Head,3/10,2/10,3/10,5,1,Inactive,Rarely Active
Member_16,Treasurer,10/10,10/10,10/10,44,16,Very Active,Very Active
Member_17,Deputy Department Head,6/10,6/10,5/10,10,2,Active,Moderate
Member_18,Supervisor,10/10,10/10,10/10,50,18,Very Active,Very Active
Member_19,Department Head,0/10,0/10,0/10,0,0,Inactive,Inactive
Member_20,Staff,6/10,7/10,7/10,6,1,Rarely Active,Moderate
Member_21,Supervisor,0/10,0/10,0/10,0,0,Inactive,Inactive
Member_22,Staff,9/10,9/10,8/10,17,7,Very Active,Active
Member_23,Division Head,9/10,8/10,9/10,18,6,Very Active,Active
Member_24,Staff,8/10,8/10,9/10,23,7,Very Active,Active
Member_25,Division Head,10/10,10/10,10/10,53,13,Very Active,Very Active
Member_26,Vice Division Head,10/10,10/10,10/10,43,14,Very Active,Very Active
Member_27,Deputy Department Head,0/10,0/10,0/10,0,0,Inactive,Inactive
Member_28,Staff,0/10,0/10,0/10,0,0,Inactive,Inactive
